episode,edge,capacity
0,0,6.47308172581615
0,1,6.973846702374616
0,2,9.665246561063311
0,3,8.987026156205458
0,4,7.39021348337069
0,5,7.063757996051754
0,6,8.550529020088263
0,7,6.245711439380795
0,8,8.96743384648188
0,9,10.474096045511647
0,10,6.590176001925598
0,11,10.513734450266583
0,12,8.936529737362086
0,13,5.737028439327028
0,14,7.674302130539751
0,15,10.1642875482341
0,16,9.105739599339323
0,17,7.028248038792628
0,18,9.309997714648372
0,19,6.432755751054723
0,20,5.656929589436366
0,21,6.095415366020267
0,22,7.104561035746349
0,23,7.805081660731485
0,24,6.691957758428318
0,25,9.768347859178919
0,26,6.282448580021169
0,27,5.925026826592322
0,28,5.713322608651641
0,29,8.551980876523514
0,30,9.986554664494408
0,31,8.569078953484793
0,32,10.419134822361507
0,33,9.258775622115312
0,34,10.019087377402437
0,35,10.404291688821772
0,36,8.258641650861177
0,37,10.45096856909944
0,38,7.971932464441416
0,39,6.73312982194393
0,40,7.72996076185866
0,41,8.92421797103737
0,42,7.052989210615506
0,43,10.259342438126138
0,44,6.639615381548593
0,45,7.103038690617791
0,46,6.649579032400393
0,47,7.1905002876880015
0,48,5.228125068815938
0,49,8.720185446958201
0,50,6.781343161580662
0,51,5.581291061132497
0,52,8.65424227263573
0,53,6.1874273935747395
0,54,6.904574968429702
0,55,7.668966140906261
0,56,6.041133109951125
0,57,6.420401633278436
0,58,7.856265445867849
0,59,7.867665588454674
0,60,6.629301181389201
0,61,6.866365501629069
1,0,7.851445562568124
1,1,5.415914767962892
1,2,8.942637556839689
1,3,9.005480750602137
1,4,5.466112503977861
1,5,5.23482550849033
1,6,8.565309029202506
1,7,7.445486897039596
1,8,7.8220135611240424
1,9,10.021190204876163
1,10,8.941565464883448
1,11,9.97338704457424
1,12,5.828537725169585
1,13,8.74510593687383
1,14,6.417158881695218
1,15,9.594998502514851
1,16,6.616524640277257
1,17,6.7613778148777826
1,18,7.000222428115975
1,19,10.11767221952015
1,20,7.2211753791846585
1,21,9.914433087869826
1,22,9.577159424053626
1,23,6.208506730673031
1,24,5.648115858814608
1,25,9.954900644464168
1,26,9.837558681199198
1,27,8.212105399273616
1,28,9.84841495960071
1,29,7.128080668355369
1,30,6.2117005260485145
1,31,5.3206029460681865
1,32,8.721342484118924
1,33,7.7243541290520925
1,34,6.259574335141082
1,35,10.57620302801272
1,36,8.102682466597827
1,37,9.801564540552155
1,38,6.74458306207528
1,39,7.289850159901824
1,40,9.359349021545297
1,41,6.474702376236479
1,42,5.975500503911592
1,43,6.113358286539274
1,44,9.52627046616524
1,45,7.654384790379048
1,46,7.594273107921273
1,47,6.1405511625239235
1,48,6.693034246668459
1,49,8.704463320801365
1,50,6.543276576571915
1,51,7.315271785638593
1,52,8.555761605421914
1,53,6.641190486591933
1,54,5.5413714588567995
1,55,6.026640413331476
1,56,9.62037362529122
1,57,7.936497919772678
1,58,8.847426504530173
1,59,6.642491805858529
1,60,7.473809813844201
1,61,10.118431710905844
2,0,10.731509719101252
2,1,7.730562512686685
2,2,10.594050923636365
2,3,7.945640000207067
2,4,6.209112164770237
2,5,9.710341767035832
2,6,9.604185912205216
2,7,9.198828125448022
2,8,5.499890227963457
2,9,5.821027657205643
2,10,5.423183891583562
2,11,6.993362498256164
2,12,10.229825899278367
2,13,10.065435524134267
2,14,8.897725002995436
2,15,8.231199304645841
2,16,8.03067679360969
2,17,8.368413569029322
2,18,9.517739907311713
2,19,8.252598566750454
2,20,6.607807596408188
2,21,8.35972462637107
2,22,5.401828260686239
2,23,8.516132887498078
2,24,5.764269676501522
2,25,9.62965695366238
2,26,7.595924700573592
2,27,9.016930982550159
2,28,6.3708159267259425
2,29,8.53058281731865
2,30,5.6140606552753125
2,31,8.498320887346617
2,32,7.949681977868102
2,33,6.450537201290965
2,34,9.73709492463922
2,35,7.832118718632625
2,36,6.757842613969333
2,37,9.522193157445358
2,38,7.89663936497524
2,39,10.28736999814705
2,40,6.107546253395693
2,41,5.922155883745997
2,42,10.413637345726226
2,43,7.258502938065235
2,44,5.772645312651296
2,45,8.906053765395631
2,46,7.930327125184134
2,47,10.770315180930192
2,48,6.59189622968387
2,49,5.405527080809852
2,50,7.425788536905659
2,51,9.779942526801655
2,52,8.559546635867534
2,53,7.347996098999154
2,54,9.297936941562035
2,55,8.991215946722559
2,56,9.340441689862567
2,57,8.292721139767758
2,58,10.27595307793953
2,59,5.936677352165183
2,60,10.621961370352555
2,61,8.663116884963877
3,0,6.241579274574134
3,1,10.00830263737788
3,2,7.908584553887144
3,3,8.152775596782249
3,4,8.741776308087516
3,5,9.059856700078024
3,6,7.528319799038996
3,7,9.607326953228235
3,8,8.517410937778719
3,9,8.703402222151588
3,10,9.997156414053
3,11,9.644394981512212
3,12,7.571649333656142
3,13,8.056383674504172
3,14,6.08715982775836
3,15,9.564477681133637
3,16,10.722536260195064
3,17,9.661098405868662
3,18,8.741358378598177
3,19,5.820800300484058
3,20,9.38301378589924
3,21,6.253473973773385
3,22,5.601033526612477
3,23,6.6818923383752225
3,24,6.267545238647245
3,25,9.702030020979665
3,26,7.487466715881295
3,27,9.357066645898424
3,28,5.531497661287913
3,29,5.718994011911915
3,30,10.002763328276487
3,31,8.582062006900312
3,32,9.77272803447834
3,33,8.964825614087385
